Altium Designer Pick and Place Locations
F:\fiverr\FIVERR_WORK\14th\CSBox\CSBox\Project Outputs for CSBox\Pick Place\Pick Place for CSBox.csv

========================================================================================================================
File Design Information:

Date:       08-04-24
Time:       01:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U?","ENC28J60-I/ML","TopLayer","QFN-ML28_M","71.0502mm","22.2250mm","90","Stand-Alone Ethernet Controller with SPI Interface, 28-Pin QFN, Industrial Temperature"
"U3","FT232RL-REEL","TopLayer","FP-SSOP-28-MFG","51.1048mm","22.2758mm","90","IC USB FS SERIAL UART 28-SSOP"
"R3","CRCW0402100RFKED","TopLayer","FP-CRCW0402-e3-IPC_C","51.9176mm","28.8502mm","90","RES Thick Film, 100O, 1%, 0.063W, 100ppm/°C, 0402"
"R2","CRCW0402100RFKED","TopLayer","FP-CRCW0402-e3-IPC_C","50.1142mm","28.8841mm","90","RES Thick Film, 100O, 1%, 0.063W, 100ppm/°C, 0402"
"J3","473460001","TopLayer","FP-473460001-MFG","55.8800mm","4.1550mm","0","CONN RCPT USB2.0 MICRO B SMD R/A"
"D4","APHHS1005CGCK","TopLayer","FP-APHHS1005CGCK-MFG","52.0192mm","31.5214mm","270","LED GREEN CLEAR CHIP SMD"
"D3","APHHS1005CGCK","TopLayer","FP-APHHS1005CGCK-MFG","50.1396mm","31.5396mm","270","LED GREEN CLEAR CHIP SMD"
"C33","100nF","TopLayer","CAP_0402_1005","48.8696mm","14.3176mm","90","SMT Capacitor"
"R?","CRCW0402100RFKED","TopLayer","FP-CRCW0402-e3-IPC_C","17.1196mm","27.4024mm","90","RES Thick Film, 100O, 1%, 0.063W, 100ppm/°C, 0402"
"U2","ESP8266-01/ESP-01","TopLayer","XCVR_ESP8266-01/ESP-01","24.2274mm","78.0288mm","270","MakerFocus 4pcs ESP8266 ESP-01 Serial Wireless WiFi Transceiver Receiver Module 1MB SPI Flash DC3.0-3.6V Internet of Things WiFi Module Board Compatible with Ar duino"
"C31","C0603C225K9PACTU","TopLayer","CAPC1608X90X35LL15T15","53.4670mm","41.6052mm","90",""
"C30","100nF","TopLayer","CAP_0402_1005","38.1334mm","47.6504mm","0","SMT Capacitor"
"C29","1uF","TopLayer","CAP_0402_1005","38.1525mm","48.8248mm","0","SMT Capacitor"
"C28","C0603C225K9PACTU","TopLayer","CAPC1608X90X35LL15T15","58.9788mm","50.5460mm","180",""
